,pavel-nb_plays-50-units-50-__activation__-elu-__nb_plays__-25-__units__-10-ensemble-1-loss,pavel-nb_plays-50-units-64-loss,nb_plays-50-units-50-__activation__-elu-__nb_plays__-50-__units__-50-ensemble-1-loss,nb_plays-50-units-128-loss
535,2.068,3.141,0.884,3.8
536,2.036,3.035,0.883,3.482
537,2.004,2.832,0.883,3.442
538,1.973,2.504,0.882,3.676
539,1.944,2.511,0.881,2.491
540,1.915,2.784,0.881,2.918
541,1.887,2.149,0.88,3.541
542,1.859,3.208,0.88,2.71
543,1.833,3.288,0.879,3.009
544,1.806,4.062,0.878,4.031
545,1.781,2.994,0.878,4.088
546,1.756,2.877,0.877,3.897
547,1.731,2.364,0.877,3.086
548,1.707,2.47,0.876,3.679
549,1.684,2.802,0.876,2.508
550,1.661,2.211,0.875,3.349
551,1.638,3.976,0.875,2.886
552,1.616,2.685,0.874,3.421
553,1.595,2.644,0.874,3.066
554,1.574,2.771,0.873,2.95
555,1.554,2.006,0.873,2.775
556,1.534,2.663,0.872,3.109
557,1.515,5.168,0.872,3.064
558,1.496,3.886,0.871,2.899
559,1.477,3.232,0.871,2.803
560,1.459,3.553,0.87,2.756
561,1.442,2.389,0.87,3.253
562,1.424,2.579,0.869,3.505
563,1.407,2.248,0.869,3.464
564,1.391,2.369,0.869,2.662
565,1.375,3.459,0.868,3.627
566,1.359,2.452,0.868,3.024
567,1.343,3.031,0.867,2.907
568,1.328,3.076,0.867,2.654
569,1.312,2.481,0.866,3.024
570,1.297,2.431,0.866,4.127
571,1.282,2.569,0.866,3.691
572,1.267,3.818,0.865,3.487
573,1.253,2.296,0.865,2.347
574,1.24,2.516,0.865,3.38
575,1.228,2.508,0.864,3.854
576,1.215,2.789,0.864,3.054
577,1.203,2.834,0.863,2.944
578,1.191,3.025,0.863,2.647
579,1.179,3.064,0.863,2.794
580,1.168,2.914,0.862,3.051
581,1.156,3.203,0.862,2.783
582,1.145,3.034,0.862,3.205
583,1.134,2.173,0.861,2.642
584,1.124,2.626,0.861,2.979
585,1.113,2.748,0.861,3.602
586,1.103,2.714,0.86,2.688
587,1.093,2.684,0.86,2.679
588,1.084,2.602,0.86,2.728
589,1.074,3.459,0.859,3.168
590,1.065,2.979,0.859,3.43
